source_unit,name,age,description,geomaterial
52|bg2,Biotite gneiss / Amphibolite,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|q1d,Quartzite / Phyllite,Precambrian to Paleozoic,,Metasedimentary rock
52|v2,Metadacite,Precambrian to Paleozoic,,Meta-felsic and intermediate rock
52|Ol,Lenoir Limestone,Middle Ordovician,,Limestone
52|CAc,Shale unit,Cambrian,,Mostly mudstone
52|mm1,Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|mp3,Amphibolite / Ultramafic,Precambrian to Paleozoic,,Meta-ultramafic rock
52|v3,Felsic metavolcanics,Precambrian to Paleozoic,,Meta-volcaniclastic rock
52|pms6,Sericite schist,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Qpam,Marsh and lagoonal facies,Pleistocene,,"Coastal zone sediment, mostly fine-grained"
52|fg1a,Biotite granite gneiss / Feldspathic biotite gneiss / Amphibolite hornblende gneiss,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|fg3,Biotitic gneiss / Mica schist / Amphibolite,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|pms6b,Sericite schist / Amphibolite / Granite gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|fg1,Biotite gneiss / Feldspathic biotite gneiss,Precambrian and/or Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|d,Diabase,Precambrian to Paleozoic,,"Coarse-grained, mafic-composition intrusive igneous rock"
52|Tu2,Eocene undifferentiated,Eocene,Highly weathered sands and sandy clays of lower Tertiary age,Sandstone and mudstone
52|Dfm,Frog Mountain,Devonian,,Sandstone
52|pms6e,Quartz mica schist / Hornblende schist / Biotitic gneiss,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Dc,Chattanooga Shale,Devonian,,Mudstone
52|pa2b,Sillimanite schist / Gneiss / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|DMu,Devonian-Mississippian undivided,Devonian to Mississippian,"Includes Fort Payne Chert, Chattanooga Shale in Dade Co.; Fort Payne Chert at top, Chattanooga Shale in middle and Armuchee Shale at bottom in all areas except Polk Co. and Dade Co.; Fort Payne Chert, and Armuchee Chert in Polk Co. Chattanooga Shale (Dc)",Mostly mudstone
52|pm1,Metagraywacke undifferentiated,Precambrian to Paleozoic,,Metasedimentary rock
52|c1,Mylonite and ultramylonite,Age uncertain,,Deformation-related metamorphic rock
52|CAcls,Limestone unit,Cambrian,,Limestone
52|CAcm,Maynardville Limestone,Cambrian,,Limestone
52|Mh,Hartselle Sandstone member,Mississippian,Hartselle Sandstone member (Mh) in Floyd County,Sandstone
52|Qwm,Marsh and lagoonal facies,Pleistocene,,"Coastal zone sediment, mostly fine-grained"
52|c2,Flinty crush rock,Age uncertain,,Deformation-related metamorphic rock
52|ms2,Amphibolitic schist / Amphibolite,Precambrian to Paleozoic,,"Medium and high-grade regional metamorphic rock, of unspecified origin"
52|Kr,Ripley Formation,Cretaceous,,Sandstone and mudstone
52|Tcd,Charlton Formation and Duplin Marl,Pliocene,,Sedimentary material
52|Qhi,Barrier island facies,Holocene,,"Coastal zone sediment, mostly coarse-grained"
