GEOID,B19013_001E,B19013_001M,B25077_001E,B25077_001M,B25064_001E,B25064_001M,B25003_001E,B25003_001M,B25003_003E,B25003_003M,B08301_001E,B08301_001M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_010E,B08301_010M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
13121010217,112604,29670,540200,86858,1423,110,1203,175,371,166,1627,279,951,289,42,36,18,26,0,14,0,14,0,14,0,14,0,14,616,225
13121010218,84327,49108,235000,134743,1460,116,963,169,416,195,1269,201,850,192,53,77,17,31,0,14,0,14,0,14,0,14,0,14,349,208
13121010219,79861,42758,469600,83556,1722,88,1222,291,1190,287,1676,398,654,227,58,71,177,130,15,25,0,14,0,14,0,14,4,17,768,357
13121010220,125795,24088,717400,96560,1889,289,2166,256,762,239,2243,407,1205,382,124,159,23,36,0,14,0,14,0,14,69,68,0,14,822,271
13121010221,119464,33502,446000,128619,1966,293,1112,204,294,141,1178,178,990,188,20,32,0,14,0,14,0,14,0,14,0,14,0,14,168,101
13121010222,245938,62588,1433600,477302,-666666666,-222222222,963,184,8,12,1480,520,1060,506,6,9,7,12,0,14,0,14,0,14,0,14,0,14,407,131
13121010223,230212,40790,847100,146970,1729,303,1321,143,69,54,1575,373,878,208,0,14,0,14,0,14,0,14,0,14,12,18,15,23,670,256
13121011421,87631,22539,356700,14358,1838,93,1985,335,1256,240,2883,565,1759,466,304,189,0,20,55,60,0,20,0,20,53,60,23,37,689,301
13121011422,121098,1451,550900,48582,1802,58,1526,228,465,225,2041,378,983,172,215,114,68,77,0,14,0,14,0,14,0,14,38,61,737,259
13121011423,157500,57598,586000,45574,2178,164,2288,386,422,243,3347,628,1833,267,139,85,13,20,0,20,0,20,0,20,0,20,139,228,1223,604
13121011424,113495,54107,579900,57309,2119,220,2301,313,199,130,2524,399,1633,357,31,40,42,62,0,20,0,20,53,63,28,37,8,13,729,214
13121011428,175163,50474,650800,43140,3501,-333333333,874,134,50,46,1097,219,568,142,56,60,0,14,9,15,0,14,0,14,14,22,0,14,450,162
13121011429,147222,14522,454200,22811,2355,192,1980,225,391,204,2874,308,1733,260,160,75,9,14,0,20,0,20,0,20,23,38,37,33,912,271
13121011430,60068,6802,191400,14901,1701,55,1536,163,1335,177,2121,336,1403,330,315,206,0,14,51,59,0,14,0,14,23,35,74,119,255,167
13121011431,119035,33788,363400,46902,1964,338,636,244,130,106,1666,774,807,367,692,484,0,14,0,14,0,14,0,14,88,92,50,74,29,27
13121011432,79844,14825,428900,65697,1818,63,1830,170,1322,204,2918,501,1757,464,207,163,0,14,0,14,0,14,0,14,0,14,23,40,931,349
13121011433,179345,78608,613900,37811,-666666666,-222222222,1131,217,55,56,1427,295,755,233,39,41,9,14,0,14,0,14,0,14,20,27,0,14,604,214
13121011434,93750,32928,408900,35353,1710,84,1386,339,368,170,2143,536,1413,519,187,115,0,14,0,14,0,14,13,23,0,14,86,86,444,124
