GEOID,B03002_001E,B03002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M
131210101271,529,220,326,201,29,34,0,14,150,162,0,14,0,14,0,14,24,38
131210101272,505,257,349,209,1,2,0,14,111,186,0,14,0,14,0,14,44,73
131210101273,1034,563,427,397,491,290,0,14,71,75,0,14,0,14,0,14,45,72
131210101274,460,187,231,111,121,140,0,14,91,91,0,14,0,14,0,14,17,27
131210101281,584,371,69,65,461,367,0,14,22,43,0,14,0,14,0,14,32,35
131210101282,1035,355,294,230,407,390,0,14,0,14,0,14,0,14,38,62,296,267
131210101291,744,300,468,244,39,88,0,14,142,161,0,14,0,14,62,133,33,52
131210101292,1171,394,578,310,355,256,0,14,0,14,0,14,0,14,0,14,238,148
131210101293,1541,1017,1295,989,101,89,0,14,54,72,0,14,91,135,0,14,0,14
131210101294,902,334,650,296,151,138,0,14,0,14,0,14,0,14,0,14,101,129
131210101301,12,21,0,14,0,14,2,3,0,14,0,14,0,14,10,19,0,14
131210101302,1704,578,903,420,612,597,0,14,101,113,0,14,39,59,49,60,0,14
131210101303,409,339,0,14,100,154,0,14,141,156,0,14,0,14,168,252,0,14
131210101304,1364,513,562,291,23,39,0,14,371,294,0,14,0,14,300,406,108,174
131210101305,684,269,218,115,89,113,10,17,279,209,0,14,0,14,88,139,0,14
131210101311,2356,842,424,111,850,754,9,15,727,381,0,14,45,64,124,140,177,147
131210101312,707,466,512,442,18,33,0,14,161,242,0,14,0,14,16,29,0,14
131210101321,1588,509,805,250,124,76,0,14,185,190,0,14,14,22,20,33,440,429
131210101322,239,165,72,70,28,44,0,14,93,120,0,14,0,14,33,45,13,23
131210101323,1789,660,654,356,782,559,0,14,88,59,0,14,82,128,112,155,71,89
131210101331,788,326,506,277,29,56,0,14,197,83,0,14,0,14,12,24,44,54
131210101332,2379,674,1122,420,594,440,0,14,310,207,0,14,24,41,171,192,158,134
131210101333,2477,571,592,258,1044,547,0,14,611,387,0,14,0,14,199,245,31,54
131210101341,763,248,69,65,263,213,0,14,105,134,0,14,91,140,97,111,138,131
131210101342,616,299,227,205,140,190,0,14,127,135,0,14,0,14,0,14,122,152
131210101343,922,317,367,140,232,241,0,14,130,191,0,14,0,14,25,41,168,43
131210101351,690,285,375,169,167,141,7,11,10,16,0,14,77,105,16,138,38,40
131210101352,469,246,0,14,258,168,0,14,0,14,0,14,0,14,0,14,211,238
131210101353,546,400,89,90,233,325,0,14,0,14,0,14,0,14,45,49,179,142
131210101361,1548,386,949,296,234,298,0,14,28,34,0,14,0,14,32,49,305,182
131210101362,1910,618,1652,587,24,39,0,14,21,24,0,14,0,14,12,15,201,204
131210101371,1561,360,983,230,281,285,0,14,86,71,0,14,11,16,77,58,123,111
131210101372,682,210,440,152,61,81,0,14,31,36,0,14,0,14,10,17,140,97
131210101373,929,377,297,293,185,132,0,14,54,93,0,14,0,14,33,52,360,312
131210102041,989,272,894,258,0,14,0,14,9,15,0,14,0,14,74,74,12,19
131210102042,2272,600,2010,548,58,70,0,14,77,121,0,14,0,14,95,72,32,33
131210102043,960,325,796,259,6,108,0,14,61,54,0,14,0,14,97,96,0,14
131210102044,744,202,701,191,21,35,0,14,0,14,0,14,0,14,22,34,0,14
131210102111,1047,251,924,232,32,51,0,14,66,87,0,14,0,14,8,13,17,17
131210102112,892,378,753,393,126,111,0,14,13,19,0,14,0,14,0,14,0,14
131210102113,566,212,460,190,11,16,0,14,15,18,0,14,0,14,8,13,72,81
131210102114,754,235,595,180,43,59,0,14,43,60,0,14,6,10,21,24,46,54
131210102121,750,345,438,222,84,145,0,14,94,131,0,14,0,14,0,14,134,189
131210102122,1702,1110,0,14,216,305,0,14,0,14,0,14,0,14,0,14,1486,1063
131210102123,1069,435,572,251,289,378,0,14,24,30,0,14,0,14,156,200,28,35
131210102124,843,338,562,286,75,103,0,14,2,6,0,14,0,14,57,68,147,153
131210102125,1330,929,587,783,139,146,0,14,0,14,0,14,22,34,0,14,582,566
131210102131,872,171,270,68,514,190,0,14,36,49,0,14,0,14,7,14,45,67
131210102141,839,305,133,84,434,235,0,14,19,21,0,14,0,14,0,14,253,249
131210102142,322,283,250,278,72,84,0,14,0,14,0,14,0,14,0,14,0,14
131210102143,910,546,417,119,0,14,0,14,40,43,0,14,0,14,29,49,424,556
131210102151,820,296,201,185,356,246,0,14,33,51,0,14,0,14,126,153,104,96
131210102152,1154,320,749,267,99,105,0,14,129,129,0,14,0,14,136,92,41,44
131210102161,1801,615,331,161,1302,632,0,14,94,88,0,14,0,14,34,40,40,35
131210102162,1707,432,1301,429,170,136,0,14,0,14,0,14,54,96,56,60,126,168
131210102171,1552,363,829,293,275,177,0,14,90,84,0,14,0,14,137,105,221,196
131210102172,878,384,614,260,46,80,0,14,58,45,0,14,0,14,11,19,149,184
131210102181,821,405,431,302,287,214,20,32,0,14,0,14,0,14,35,43,48,34
131210102182,818,361,271,133,357,188,0,14,0,14,0,14,0,14,13,21,177,176
131210102191,147,124,111,110,36,60,0,14,0,14,0,14,0,14,0,14,0,14
131210102192,850,279,202,106,547,248,0,14,13,22,0,14,0,14,41,46,47,37
131210102193,1111,570,225,164,578,312,0,14,12,21,0,14,0,14,177,207,119,137
131210102201,2514,579,1892,505,139,159,0,14,176,160,0,14,0,14,210,202,97,118
131210102202,917,384,426,163,241,217,0,14,159,215,0,14,0,14,0,14,91,80
131210102203,1175,454,922,339,26,43,0,14,0,14,0,14,0,14,60,99,167,179
131210102211,1060,246,681,203,20,32,0,14,226,181,0,14,0,14,43,43,90,130
131210102212,414,127,272,136,142,123,0,14,0,14,0,14,0,14,0,14,0,14
131210102213,559,351,469,329,13,22,0,14,0,14,0,14,0,14,0,14,77,68
131210102221,1746,712,1335,715,87,114,0,14,171,113,0,14,0,14,60,47,93,86
131210102222,989,196,909,198,32,32,0,14,6,9,0,14,0,14,11,18,31,31
131210102231,1700,437,1345,392,76,82,0,14,100,94,0,14,21,33,29,35,129,88
131210102232,673,186,510,180,74,73,0,14,39,50,0,14,0,14,25,29,25,33
131210102233,790,320,694,292,0,14,0,14,87,119,0,14,0,14,0,14,9,14
131210114214,486,243,255,160,80,85,0,14,38,41,0,14,0,14,57,80,56,96
131210114221,1035,241,681,222,90,124,0,14,125,123,0,14,0,14,68,87,71,96
131210114222,873,301,371,170,267,133,0,14,29,30,0,14,197,111,0,14,9,13
131210114223,1450,410,1383,410,15,21,0,14,0,14,0,14,0,14,7,23,45,55
131210114231,952,386,867,382,27,47,0,14,9,15,0,14,0,14,8,12,41,51
131210114232,2545,1108,2103,1069,50,64,0,14,184,228,0,14,0,14,28,40,180,143
131210114233,1433,469,906,272,218,207,0,14,29,29,0,14,0,14,206,238,74,65
131210114234,1264,314,889,317,2,4,2,5,51,57,0,14,68,100,37,49,215,163
131210114241,2774,1160,1894,1004,205,151,0,14,69,102,0,14,0,14,290,322,316,375
131210114242,666,318,244,111,0,14,0,14,382,309,0,14,0,14,0,14,40,47
131210114243,641,265,418,232,99,136,0,14,24,40,0,14,0,14,24,39,76,128
131210114244,2372,724,1293,509,278,215,0,14,181,190,0,14,0,14,84,91,536,475
131210114281,903,256,807,249,30,33,0,14,9,14,0,14,0,14,0,14,57,68
131210114282,1387,312,1067,316,119,121,18,31,54,76,0,14,18,28,51,77,60,76
131210114291,779,245,548,232,52,69,0,14,87,112,0,14,0,14,53,63,39,48
131210114292,1862,497,731,235,332,287,0,14,179,138,0,14,154,193,121,117,345,92
131210114294,1657,479,786,194,220,287,0,14,306,161,0,14,78,89,229,299,38,44
131210114301,1744,499,122,109,209,213,0,14,0,14,0,14,0,14,0,14,1413,446
131210114302,1147,515,244,151,619,431,0,14,0,14,0,14,0,14,0,14,284,207
131210114303,1232,495,285,151,636,427,0,14,0,14,0,14,0,14,0,14,311,283
131210114312,175,195,89,136,86,145,0,14,0,14,0,14,0,14,0,14,0,14
